Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Tone Mode	CTCSS	DCS	Tx Power	Skip	Step	Mask	Clock Shift	Half Dev	Bank 1	Bank 2	Bank 3	Bank 4	Bank 5	Bank 6	Bank 7	Bank 8	Bank 9	Comment	Icon	
146	147.03000	147.03000	 	Simplex	FM		Tone	103.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
147	147.07500	147.07500	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
148	147.09000	147.09000	 	Simplex	FM		None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
149	147.12000	147.12000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
150	147.13000	147.13000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
151	147.15000	147.15000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
152	147.17500	147.17500	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
153	147.24000	147.24000	 	Simplex	FM		Tone	103.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
154	147.91500	147.91500	 	Simplex	FM		Tone	123.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
155	223.94000	223.94000	 	Simplex	FM		Tone	141.3 Hz	023	Low	Off	20 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
156	224.18000	224.18000	 	Simplex	FM		Tone	156.7 Hz	023	Low	Off	20 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
157	224.38000	224.38000	 	Simplex	FM		Tone	107.2 Hz	023	Low	Off	20 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
158	224.82000	224.82000	 	Simplex	FM		Tone	156.7 Hz	023	Low	Off	20 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
159	445.64000	445.64000	 	Simplex	FM		Tone	131.8 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
160	445.68000	445.68000	 	Simplex	FM		Tone	123.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
161	446.40000	446.40000	 	Simplex	FM		Tone	67.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
162	446.64000	446.64000	 	Simplex	FM		Tone	151.4 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
163	446.64000	446.64000	 	Simplex	FM		Tone	141.3 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
164	446.75000	446.75000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
165	447.00000	447.00000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
166	447.32000	447.32000	 	Simplex	FM		Tone	131.8 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
167	447.44000	447.44000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
168	447.48000	447.48000	 	Simplex	FM		Tone	156.7 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
169	447.48000	447.48000	 	Simplex	FM		Tone	141.3 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
170	447.58000	447.58000	 	Simplex	FM		Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
171	447.58000	447.58000	 	Simplex	FM		Tone	123.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
172	447.64000	447.64000	 	Simplex	FM		Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
173	448.06000	448.06000	 	Simplex	FM		Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
174	448.90000	448.90000	 	Simplex	FM		Tone	123.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
175	449.08000	449.08000	 	Simplex	FM		Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
176	449.16000	449.16000	 	Simplex	FM		Tone	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
177	449.18000	449.18000	 	Simplex	FM		Tone	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
178	449.20000	449.20000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
179	449.28000	449.28000	 	Simplex	FM		Tone	123.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
180	449.30000	449.30000	 	Simplex	FM		Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
181	449.50000	449.50000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
182	449.70000	449.70000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
183	449.98000	449.98000	 	Simplex	FM		Tone	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
184	927.51250	927.51250	 	Simplex	FM		Tone	123.0 Hz	023	High	Off	12.5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
185	147.22000	146.62000	600 kHz	Minus	FM		Tone	67.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
186	147.04000	146.44000	600 kHz	Minus	FM		Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
187	147.36000	146.76000	600 kHz	Minus	FM		Tone	67.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
188	147.14000	146.54000	600 kHz	Minus	FM		Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
189	145.17000	144.57000	600 kHz	Minus	FM		Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
190	147.02000	146.42000	600 kHz	Minus	FM		Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
191	146.66000	146.06000	600 kHz	Minus	FM		Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
192	146.94000	146.34000	600 kHz	Minus	FM		Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
193	146.64000	146.64000	 	Simplex	FM		Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
