Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Tone Mode	CTCSS	DCS	Tx Power	Skip	Step	Mask	Clock Shift	Half Dev	Bank 1	Bank 2	Bank 3	Bank 4	Bank 5	Bank 6	Bank 7	Bank 8	Bank 9	Comment	Icon	
32	443.77500	448.77500	5.00 MHz	Plus	FM	W7ARA	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
33	444.30000	449.30000	5.00 MHz	Plus	FM	W7ARA	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
34	444.50000	449.50000	5.00 MHz	Plus	FM	W7MDY	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
35	447.82500	452.82500	5.00 MHz	Plus	FM	HliogfPk	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
36	448.37500	443.37500	5.00 MHz	Minus	FM	W7ARA	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
37	448.47500	443.47500	5.00 MHz	Minus	FM	W7ARA	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
38	448.87500	443.87500	5.00 MHz	Minus	FM	W7ARA	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
39	449.17500	454.17500	5.00 MHz	Plus	FM	WB7EVI	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
40	449.52500	444.52500	5.00 MHz	Minus	FM	W7ARA	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
41	449.62500	444.62500	5.00 MHz	Minus	FM	Biltmore	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
42	927.16250	902.16250	 	Minus	FM	W7ARA	Tone	151.4 Hz	023	High	Off	12.5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
43	927.33750	902.33750	 	Minus	FM	W7ARA	Tone	151.4 Hz	023	High	Off	12.5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
44	927.41250	902.41250	 	Minus	FM	W7ARA	Tone	151.4 Hz	023	High	Off	12.5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
45	147.24000	147.84000	600 kHz	Plus	FM	KA6DAC	Tone	103.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
46	147.12000	147.72000	600 kHz	Plus	FM	WM6Z	Tone	103.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
47	147.12000	147.72000	600 kHz	Plus	FM	K7LKL	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
48	441.72500	446.72500	5.00 MHz	Plus	FM	W7EX	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
49	449.18000	444.18000	5.00 MHz	Minus	FM	N6LVR	Tone	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
50	146.94000	146.34000	600 kHz	Minus	FM	W7EX	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
51	146.68000	146.68000	 	Simplex	FM	K7LKL	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
52	146.94000	146.94000	 	Simplex	FM	W7EX	Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
53	441.72500	441.72500	 	Simplex	FM	W7EX	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
54	446.75000	446.75000	 	Simplex	FM	KA6DAC	Tone	107.2 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
55	147.12000	147.12000	 	Simplex	FM	WM6Z	Tone	103.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
56	147.24000	147.24000	 	Simplex	FM	KA6DAC	Tone	103.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
57	927.33750	927.33750	 	Simplex	FM	W7ARA	Tone	151.4 Hz	023	High	Off	12.5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
58	145.47000	145.47000	 	Simplex	FM	WV7H	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
59	145.49000	145.49000	 	Simplex	FM	W7DRC	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
60	146.61000	146.61000	 	Simplex	FM	K7SDC	Tone	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
61	146.64000	146.64000	 	Simplex	FM	W7RDC	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
62	146.68000	146.68000	 	Simplex	FM	K7ZAR	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
63	146.70000	146.70000	 	Simplex	FM	KA7STK	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
64	146.72000	146.72000	 	Simplex	FM	W7NRC	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
65	146.74000	146.74000	 	Simplex	FM	NR7K	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
66	146.76000	146.76000	 	Simplex	FM	K7QEQ	Tone	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
67	146.76000	146.76000	 	Simplex	FM	K7JH	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
68	146.80000	146.80000	 	Simplex	FM	WV7H GBM	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
69	146.82000	146.82000	 	Simplex	FM	NR7K	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
70	146.88000	146.88000	 	Simplex	FM	W7NRC	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
71	146.90000	146.90000	 	Simplex	FM	K7QEQ	Tone	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
72	146.91000	146.91000	 	Simplex	FM	NR7K	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
73	146.94000	146.94000	 	Simplex	FM	WR7AAA	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
74	146.96000	146.96000	 	Simplex	FM	W7DRR	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
75	146.98000	146.98000	 	Simplex	FM	N7KM	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
