24,146.86,146.26,600 kHz,Minus,FM,HeliographPk,Show Name,Enc,141.3,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
25,146.9,146.3,600 kHz,Minus,FM,HeliographPk,Show Name,Enc,141.3,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
26,440.65,445.65,5.00 MHz,Plus,FM,HeliographPk,Show Name,Enc,141.3,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
27,440.7,445.7,5.00 MHz,Plus,FM,HeliographPk,Show Name,Enc,141.3,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
28,447.825,452.825,5.00 MHz,Plus,FM,HeliographPk,Show Name,Enc,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
29,145.21,144.61,600 kHz,Minus,FM,JacksPk,Show Name,Enc,141.3,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
30,147.16,146.56,600 kHz,Minus,FM,LemmonMt,Show Name,Enc,141.3,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
31,449.18,444.18,5.00 MHz,Minus,FM,MonumentPk,Show Name,None,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
32,147.24,147.84,600 kHz,Plus,FM,MonumentPk,Show Name,Enc,103.5,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
33,146.92,146.32,600 kHz,Minus,FM,OrdMt,Show Name,Enc,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
34,444.5,449.5,5.00 MHz,Plus,FM,OrdMt,Show Name,Enc,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
35,147.36,147.96,600 kHz,Plus,FM,OrdMtLNK,Show Name,Enc,162.2,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
36,145.41,144.81,600 kHz,Minus,FM,PinalMtLNK,Show Name,Enc,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
37,147.2,147.8,600 kHz,Plus,FM,PinalMtLNK,Show Name,Enc,162.2,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
38,147.24,147.84,600 kHz,Plus,FM,ShawButte,Show Name,Enc,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
39,224.9,223.3,1.60 MHz,Minus,FM,ShawButte,Show Name,Enc,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
40,449.525,444.525,5.00 MHz,Minus,FM,ShawButte,Show Name,Enc,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
41,146.68,146.08,600 kHz,Minus,FM,SmithPk,Show Name,Enc,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
42,147.12,147.72,600 kHz,Plus,FM,SmithPk,Show Name,Enc,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
43,443.775,448.775,5.00 MHz,Plus,FM,SmithPkLNK,Show Name,Enc,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
44,146.67,147.27,600 kHz,Plus,FM,SuprStitnMtn,Show Name,Enc,103.5,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
45,146.94,146.34,600 kHz,Minus,FM,WhiteTanksMtn,Show Name,Enc,162.2,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
46,441.725,446.725,5.00 MHz,Plus,FM,WhiteTanksMtn,Show Name,Enc,100,23,5 kHz,Off,High,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,
