Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Mask,Clock Shift,Half Dev,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Bank 6,Bank 7,Bank 8,Bank 9,Comment,Icon
33,146.92,146.32,600 kHz,Minus,FM,OrdMt,Enc,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
34,444.5,449.5,5.00 MHz,Plus,FM,OrdMt,Enc,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
35,147.36,147.96,600 kHz,Plus,FM,OrdMtLNK,Enc,162.2 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
36,145.41,144.81,600 kHz,Minus,FM,PinalMtLNK,Enc,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
37,147.2,147.8,600 kHz,Plus,FM,PinalMtLNK,Enc,162.2 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
38,147.24,147.84,600 kHz,Plus,FM,ShawButte,Enc,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
39,224.9,223.3,1.60 MHz,Minus,FM,ShawButte,Enc,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
40,449.525,444.525,5.00 MHz,Minus,FM,ShawButte,Enc,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
41,146.68,146.08,600 kHz,Minus,FM,SmithPk,Enc,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
42,147.12,147.72,600 kHz,Plus,FM,SmithPk,Enc,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
43,443.775,448.775,5.00 MHz,Plus,FM,SmithPkLNK,Enc,100.0 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
44,146.67,147.27,600 kHz,Plus,FM,SuprStitnMtn,Enc,103.5 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
45,146.94,146.34,600 kHz,Minus,FM,WhiteTanksMtn,Enc,162.2 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
46,441.725,446.725,5.00 MHz,Plus,FM,WhiteTanksMtn,Enc,100 Hz,23,High,Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1
